,,REGION,PROVINCE,CITY/ MUNICIPALITY,"BLDG OR HOUSE NO., STREET, BRGY (as applicable)",NAME OF FACILITY,OWNERSHIP,OWNERSHIP CLASS,CLASS,SERVCE CAPABILITY,ABC,CONTACT NOS.,E-MAIL ADDRESS,VALIDITY FROM,VALIDITY UNTIL
,538,REGION 9,Zamboanga del Sur,Zamboanga City,P. Brillantes,ZAMBOANGA PUERICULTURE LYING-IN MATERNITY HOSPITAL,Private,N/A,General,Level 1,25,0917-1251065,zpc144@gmail.com,1/1/2025,12/31/2025
,539,REGION 9,Zamboanga Del Sur,Zamboanga City,"Don Alfaro St, Tetuan",PREMIER MEDICAL CENTER ZAMBOANGA,Private,N/A,General,Level 1,60,09561647701 / (062) 991-9978,dco.pco@pmcz.com.ph,1/1/2025,12/31/2025
,540,REGION 9,Zamboanga Sibugay,Ipil,Poblacion,DR. HENRY DE VILLA MEMORIAL HOSPITAL,Private,N/A,General,Level 1,30,062-955-8426,devilla.hospital@yahoo.com,1/1/2025,12/31/2025
,541,REGION 9,Zamboanga Sibugay,Ipil,Brgy. Sanito,IPIL DOCTOR'S HOSPITAL,Private,N/A,General,Level 1,18,0968-425-5314,ipildoctorshospital@yahoo.com,1/1/2025,12/31/2025
,542,REGION 9,Zamboanga Sibugay,Ipil,"General Malvar St., Poblacion",M. SIMON HOSPITAL & PHARMACY,Private,N/A,General,Level 1,32,0926-1861532,m.simonhospital@ymail.com,1/1/2025,12/31/2025
,543,REGION 9,Zamboanga Sibugay,Kabasalan,Poblacion,PATHFINDER ESTATE HOSPITAL,Private,N/A,General,Level 1,22,0919-3060308,pehospital@gmail.com,1/1/2025,12/31/2025
,544,REGION 9,Zamboanga Sibugay,Roseller Lim,Poblacion,R.T. LIM FAMILY HOSPITAL CO.,Private,N/A,General,Level 1,18,0966-5626935,rtfamhosplicensing@gmail.com,1/1/2025,12/31/2025
,545,REGION 9,Zamboanga Sibugay,Titay,Poblacion,ROMEO B. SIBUD COUNTY HOSPITAL,Private,N/A,General,Level 1,20,0926-7318524,sibudhospital@gmail.com,1/1/2025,12/31/2025
,546,REGION 10,Bukidnon,Don Carlos,"E. Aguinaldo St., Poblacion",DON CARLOS DOCTORS HOSPITAL,Private,N/A,General,Level 2,100,9178595314,dcdoctorshospital@yahoo.com,1/1/2025,12/31/2025
,547,REGION 10,Bukidnon,Don Carlos,"Sayre Highway, Poblacion",SIMBULAN STO. NIÑO HOSPITAL,Private,N/A,General,Level 1,48,tel (088)828-0817 / 09177183563,ssngh_simbulan@yahoo.com,1/1/2025,12/31/2025
,548,REGION 10,Bukidnon,Malaybalay City,Fortich St.,"BETHEL BAPTIST HOSPITAL, INC.",Private,N/A,General,Level 1,75,(088)813-2708 / 09178705099,bethelbaptisthospital@gmail.com / bethelbaptisthospital@yahoo.com,1/1/2025,12/31/2025
,549,REGION 10,Bukidnon,Malaybalay City,"Fortich Street, Barangay 7",MALAYBALAY MEDICAL HOSPITAL CARE,Private,N/A,General,Level 1,17,(088)813-1140 / 09171146718,malaybalay_medical_hospital@yahoo.com,2/5/2025,12/31/2025
,550,REGION 10,Bukidnon,Malaybalay City,"Fortich St., Brgy. 9","MALAYBALAY POLYMEDIC GENERAL HOSPITAL, INC.",Private,N/A,General,Level 2,150,(088)813-4016 / 09177187661,mpgh1991@yahoo.com,1/1/2025,12/31/2025
,551,REGION 10,Bukidnon,Malaybalay City,"Datu Mampaalong Street, Barangay 6",ST. JUDE THADDEUS GENERAL HOSPITAL (SJTGH),Private,N/A,General,Level 1,50,09175190082 / 09178134834,st.judethaddeus_08@ymail.com,1/1/2025,12/31/2025
,552,REGION 10,Bukidnon,Manolo Fortich,"Camp Phillips, Agusan Canyon",PHILLIPS MEMORIAL HOSPITAL,Private,N/A,General,Level 1,75,(088)855-5976 / 09177264184,pmg_pmh413@yahoo.com,1/1/2025,12/31/2025
,553,REGION 10,Bukidnon,Maramag,P-2A South Poblacion,BONGCAS HOLY CHILD HOSPITAL,Private,N/A,General,Level 1,30,(088)828-1746 / 09177773945,bongcashc_hospital@yahoo.com,1/1/2025,12/31/2025
,554,REGION 10,Bukidnon,Maramag,"Sayre Highway, Purok 8, North Poblacion","ST. JOSEPH SOUTHERN BUKIDNON HOSPITAL, INC.",Private,N/A,General,Level 1,30,(088)828-4702 / 09177182601,sjsbh5170@yahoo.com / sjsbh5170@gmail.com,1/1/2025,12/31/2025
,555,REGION 10,Bukidnon,Pangantucan,"Sitio Bongbong, Adtuyon",PANGANTUCAN MEDICAL HOSPITAL,Private,N/A,General,Level 1,16,(088)828-1228 / 09164882738 / 09278441319,butbutan@yahoo.com,1/1/2025,12/31/2025
,556,REGION 10,Bukidnon,Valencia City,"4007 P. Valero St., Purok 16, Poblacion",ABELLA MIDWAY HOSPITAL,Private,N/A,General,Level 1,17,(088)828-3533 / 09189424178,abella.midway@yahoo.com / abella_midway@yahoo.com,1/1/2025,12/31/2025
,557,REGION 10,Bukidnon,Valencia City,"A. Aguilar St.,","ADVENTIST MEDICAL CENTER - VALENCIA CITY, INC.",Private,N/A,General,Level 2,105,info (088)828-7777,info.amcv@adventisthealth-vnc.com / hr.amcv@adventisthealth-vnc.com,1/1/2025,12/31/2025
,558,REGION 10,Bukidnon,Valencia City,"Sayre Highway, Poblacion",ESTHER HOSPITAL,Private,N/A,General,Level 1,20,(088)828-4445,estherhospital2003@gmail.com,1/1/2025,12/31/2025
,559,REGION 10,Bukidnon,Valencia City,Poblacion,"LA VIÑA GENERAL HOSPITAL, INC.",Private,N/A,General,Level 2,72,(088)828-6150 / 09171728644,lvghi@yahoo.com / lvghihrdo@yahoo.com / lavinaqa1@gmail.com,1/1/2025,12/31/2025
,560,REGION 10,Bukidnon,Valencia City,"P-10 Guinoyuran Road, Poblacion","MEDIDAS MEDICAL CENTER, INC.",Private,N/A,General,Level 1,25,(088)828-6889,centerincmedidasmedical@gmail.com,1/1/2025,12/31/2025
,561,REGION 10,Bukidnon,Valencia City,"Purok 16, Sayre Highway, Poblacion",VALENCIA MEDICAL HOSPITAL,Private,N/A,General,Level 1,20,(088)828-1228 / 09164882738,butbutan@yahoo.com,1/1/2025,12/31/2025
,562,REGION 10,Bukidnon,Valencia City,"Sayre Highway, Poblacion","VALENCIA POLYMEDIC GENERAL HOSPITAL, INC.",Private,N/A,General,Level 2,90,(088)828-8000 / 09173028349,vpgh2015@yahoo.com,1/1/2025,12/31/2025
,563,REGION 10,Lanao del Norte,Bacolod,"Purok 1, Poblacion",ANDOT MEDICAL CLINIC,Private,N/A,General,Level 1,25,(063)227-2010 / 09177169776,andothospital@ymail.com,1/1/2025,12/31/2025
,564,REGION 10,Lanao del Norte,Iligan City,"Andres Bonifacio Avenue, San Miguel","ADVENTIST MEDICAL CENTER - ILIGAN CITY, INC.",Private,N/A,General,Level 2,100,(063)221-3029 / 09564820175,amc.iligan@gmail.com / amciligan@adventisthealth-ign.com,1/1/2025,12/31/2025
,565,REGION 10,Lanao del Norte,Iligan City,Roxas Avenue,"DR. UY HOSPITAL, INC.",Private,N/A,General,Level 1,35,(063)228-1140 / 09163993540,druyhospitalinc@yahoo.com,1/1/2025,12/31/2025
,566,REGION 10,Lanao del Norte,Iligan City,"San Miguel Village, Pala-o",ILIGAN MEDICAL CENTER HOSPITAL,Private,N/A,General,Level 1,50,(063)221-4661 / 09399306632,imchospital@yahoo.com,1/1/2025,12/31/2025
,567,REGION 10,Lanao del Norte,Iligan City,"Sister Of Mercy Road, Camague","MERCY COMMUNITY HOSPITAL, INC.",Private,N/A,General,Level 2,75,(063)221-1154 / 09177105491,mchi.iligan@gmail.com,1/1/2025,12/31/2025
,568,REGION 10,Lanao del Norte,Iligan City,"Quezon Avenue Extension, Villaverde","ST. MARY'S MATERNITY AND CHILDREN'S HOSPITAL, INC.",Private,N/A,Specialty,Level 1,50,(063)221-3210,smmchi.iligan@gmail.com / smmch_inc@yahoo.com,1/1/2025,12/31/2025
,569,REGION 10,Lanao del Norte,Lala,"Purok Molave, Maranding",ASENTISTA DOCTORS HOSPITAL AND LABORATORY,Private,N/A,General,Level 1,17,9088961568,asentistadoctors@gmail.com,1/1/2025,12/31/2025
,570,REGION 10,Lanao del Norte,Lala,"Purok Apitong, Maranding",BONTILAO COUNTRY HOSPITAL,Private,N/A,General,Level 1,17,(063)227-8549 / 09687175251,bontilaocountryhospital@yahoo.com,1/1/2025,12/31/2025
,571,REGION 10,Lanao del Norte,Lala,"Purok Indian Tree, Maranding","GOZO COMMUNITY HOSPITAL, INC.",Private,N/A,General,Level 1,17,(063)3025549 / 09177160350,gozohr95@gmail.com,1/1/2025,12/31/2025
,572,REGION 10,Lanao del Norte,Lala,"Purok Pomelo, Fernan Subdivision, Maranding","MARANDING COMMUNITY HOSPITAL, INC.",Private,N/A,General,Level 1,50,(063)227-8698 / 09750863503,marandingcommunityhospital@gmail.com,1/1/2025,12/31/2025
,573,REGION 10,Lanao del Norte,,"Purok 1 San Antonio, Poblacion, Municipality of Tubod","TUBOD COMMUNITY HOSPITAL AND DIAGNOSTIC CENTER, INC.",Private,N/A,General,Level 1,17,(063)227-6145 / 09209657968,tubodcommunity.hospital93@gmail.com,1/1/2025,12/31/2025
,574,REGION 10,Misamis Occidental,Bonifacio,"Purok 4, Digson",CLINICA OZARAGA DOCTORS HOSPITAL,Private,N/A,General,Level 1,24,(088)586-1591 / 09212510865,clinicaozaraga4@gmail.com / clinicaozaraga1979@gmail.com,1/1/2025,12/31/2025
,575,REGION 10,Misamis Occidental,Jimenez,"Burgos St., Naga",DR. DICK UY FAUM HOSPITAL,Private,N/A,General,Level 1,18,(088)272-3851 / 09816184372,faumh.philhealth2016@gmail.com,1/1/2025,12/31/2025
,576,REGION 10,Misamis Occidental,Oroquieta City,"43 Barrientos St., Layawan",ST. THERESE HOSPITAL,Private,N/A,General,Level 1,20,(088)531-1274 / 09452250685,sttherese_hosp@yahoo.com,1/1/2025,12/31/2025
,577,REGION 10,Misamis Occidental,Ozamiz City,"Gov. Angel N. Medina Sr. Avenue, New Annex",MEDINA GENERAL HOSPITAL,Private,N/A,General,Level 2,100,(088)521-1816 / 09209459124,medinageneralhospital@rocketmail.com,1/1/2025,12/31/2025
,578,REGION 10,Misamis Occidental,Ozamiz City,Bagakay,MISAMIS UNIVERSITY MEDICAL CENTER,Private,N/A,General,Level 2,100,(088)521-2411 / 521-2412,mumc@mu.edu.ph,1/1/2025,12/31/2025
,579,REGION 10,Misamis Occidental,Ozamiz City,"Washington Street, 50th Barangay",OZAMIZ CITY ST. JOSEPH GENERAL HOSPITAL,Private,N/A,General,Level 1,20,(088)521-1726 / 09063532173,josemarave@yahoo.com / josephinemarave@yahoo.com.ph,1/1/2025,12/31/2025
,580,REGION 10,Misamis Occidental,Ozamiz City,"Feliciano Street, Barangay Aguada","TOBIAS FELICIANO FAITH GENERAL HOSPITAL, INC.",Private,N/A,General,Level 1,78,tel(088)564-0728 / 09190796898,faith.hospital1972@gmail.com,1/1/2025,12/31/2025
,581,REGION 10,Misamis Occidental,Plaridel,"Purok 5, Lao Proper","JP SOLON FAMILY GENERAL HOSPITAL, INC.",Private,N/A,General,Level 1,20,(088)545-1290 / 09109030710,st.augustinehospital@gmail.com / st.augustinehospital2015@gmail.com,1/1/2025,12/31/2025
,582,REGION 10,Misamis Oriental,Cagayan de Oro City,"Sta. Cruz 1, Pimentel St., Lapasan","ALLIED CARE EXPERTS (ACE) MEDICAL CENTER - CAGAYAN DE ORO, INC.",Private,N/A,General,Level 2,100,9177718385,alliedcareexperts.cdo@gmail.com,1/1/2025,12/31/2025
,583,REGION 10,Misamis Oriental,Cagayan de Oro City,Kauswagan Highway,"C.D.O. POLYMEDIC MEDICAL PLAZA, INC.",Private,N/A,General,Level 2,200,9756279035,cdo_polymedic@yahoo.com,1/1/2025,12/31/2025
,584,REGION 10,Misamis Oriental,Cagayan de Oro City,"Tiano - Nacalaban Sts.,","CAGAYAN DE ORO MEDICAL CENTER, INC.",Private,N/A,General,Level 2,115,(08822)711-874 / 09178228227,cdomedicalcenter@gmail.com,1/1/2025,12/31/2025
,585,REGION 10,Misamis Oriental,Cagayan de Oro City,Don Apolinar Velez St.,"CAGAYAN DE ORO POLYMEDIC GENERAL HOSPITAL, INC.",Private,N/A,General,Level 1,75,9175636445,cdo_polymedic@yahoo.com,1/1/2025,12/31/2025
,586,REGION 10,Misamis Oriental,Cagayan de Oro City,Gusa,"CAPITOL UNIVERSITY MEDICAL CENTER FOUNDATION OF CAGAYAN, INC.",Private,N/A,General,Level 2,181,(088)8525536 / 09171329361,qa@cumc.com.ph,1/1/2025,12/31/2025
,587,REGION 10,Misamis Oriental,Cagayan de Oro City,"J.V. Seriña St., Carmen",MADONNA AND CHILD HOSPITAL,Private,N/A,General,Level 2,105,(088)858-4105 / 858-3962 / 09171058587,madonna.and.child.hospital@hotmail.com,1/1/2025,12/31/2025
,588,REGION 10,Misamis Oriental,Cagayan de Oro City,"Hayes St., Cagayan De Oro City","MARIA REYNA-XAVIER UNIVERSITY HOSPITAL, INC.",Private,,General,Level 3,130,(08822) 725210,mariareynaxucdo@gmail.com,1/1/2025,12/31/2025
,589,REGION 10,Misamis Oriental,Cagayan de Oro City,"Zone 6, Puerto Highway",PUERTO COMMUNITY HOSPITAL,Private,N/A,General,Level 1,35,9063487851,puerto_hosp@yahoo.com,1/1/2025,12/31/2025
,590,REGION 10,Misamis Oriental,Cagayan de Oro City,292 A. Velez St.,"SABAL HOSPITAL, INC.",Private,N/A,General,Level 1,30,888561944,sabal_hospital_inc@yahoo.com,1/1/2025,12/31/2025
,591,REGION 10,Misamis Oriental,Cagayan de Oro City,"Masterson Avenue, Upper Canitoan",SAINT FRANCIS DOCTORS' HOSPITAL AND MEDICAL CENTER,Private,,General,Level 2,31,(088)326-2489 / 09173215246,saintfrancis.admn@gmail.com,1/1/2025,12/31/2025
,592,REGION 10,Misamis Oriental,Gingoog City,"C. Bagaipo St, Barangay 22","GINGOOG SANITARIUM AND HOSPITAL, INC.",Private,N/A,General,Level 1,35,(088)8612006,admin@adventisthealth-gng.com,1/1/2025,12/31/2025
,593,REGION 10,Misamis Oriental,Gingoog City,"Brgy. 24-A, National Highway","LIPUNAN HOSPITAL, INC.",Private,N/A,General,Level 1,25,0888610428 / 09175200000,hospitallipunan@yahoo.com,1/1/2025,12/31/2025
,594,REGION 10,Misamis Oriental,Gingoog City,"Purok Osmeña, San Luis",SAN ISIDRO POLYMEDIC GENERAL HOSPITAL,Private,N/A,General,Level 2,40,9177163274,sipgh.polymedic@gmail.com,1/1/2025,12/31/2025
,595,REGION 10,Misamis Oriental,Jasaan,"Zone 4 Capunuyan, Aplaya","REVER MEDICAL CENTER, INC.",Private,N/A,General,Level 1,60,0888904412 / 09666212306 / 09773993649,revermedicalcenter.hr1@gmail.com,1/1/2025,12/31/2025
,596,REGION 10,Misamis Oriental,Tagoloan,Brgy. Sta. Cruz,"TAGOLOAN POLYMEDIC GENERAL HOSPITAL, INC.",Private,N/A,General,Level 1,35,088890-3071 / 09993808452 / 09258986945,cdo_polymedic@yahoo.com / hmotagoloan2017@gmail.com,1/1/2025,12/31/2025
,597,REGION 11,Davao de Oro,Mawab,"P1 Pob. Mawab, Davao De Oro",DOCTORS COMMUNITY HOSPITAL,Private,N/A,General,Level 1,31,9222409549,dchmawab@gmail.com,1/1/2025,12/31/2025
,598,REGION 11,Davao de Oro,Nabunturan,"Flores St., Pob. Nabunturan, Comval","MIGUEL O. CABRERA SR. MEMORIAL HOSPITAL, CORP.",Private,N/A,General,Level 1,35,084-372-0335,miguelcabrera.sr.hospital@gmail.com,1/1/2025,12/31/2025
,599,REGION 11,Davao del Norte,Panabo City,"2081 National Hi-Way, Salvacion, Panabo","CAINGLET MEDICAL HOSPITAL, INC.",Private,N/A,General,Level 1,30,084-3094512,caingletmedicalhospitalinc@yahoo.com,1/1/2025,12/31/2025
,600,REGION 11,Davao del Norte,Panabo City,"Km. 31, National Highway, New Pandan","GOOD SHEPHERD HOSPITAL OF PANABO CITY, INC.",Private,N/A,General,Level 1,34,084-628-5150,goodshepherd.panabo@gmail.com,1/1/2025,12/31/2025
,601,REGION 11,Davao del Norte,Panabo City,"Quirino St., Panabo City","PANABO POLYMEDIC HOSPITAL, INC.",Private,N/A,General,Level 2,48,084-628-5317,panabopolymedic2002@yahoo.com,1/1/2025,12/31/2025
,602,REGION 11,Davao del Norte,Panabo City,"7302 San Francisco, Panabo City","RIVERA MEDICAL CENTER, INC.",Private,N/A,General,Level 2,100,084-6285234,info@rmci.com.ph,1/1/2025,12/31/2025
,603,REGION 11,Davao del Norte,Panabo City,"Bo. A. O. Floirendo, Panabo City",TADECO HOSPITAL,Private,N/A,General,Level 1,30,084-2347711,tadecohospital@anflocor.com,1/1/2025,12/31/2025
,604,REGION 11,Davao del Norte,Sto. Tomas,"Purok 3, Fd Rd 1, Sto. Tomas, Davao Del Norte","METROPOLITAN POLYMEDIC COMMUNITY HOSPITAL, INC.",Private,N/A,General,Level 1,15,9209458842,mpchi.2015@gmail.com,1/1/2025,12/31/2025
,605,REGION 11,Davao del Norte,Tagum City,"Mabini Street, Magugpo South, Tagum City","AQUINO MEDICAL SPECIALISTS HOSPITAL, INC.",Private,N/A,General,Level 1,20,084-216-2156,aquinohospital@yahoo.com,1/1/2025,12/31/2025
,606,REGION 11,Davao del Norte,Tagum City,"Christ the Kind Road, Magugpo East, Tagum City","CHRIST THE KING SPECIALISTS HOSPITAL, INC.",Private,Private,General,Level 2,100,9296114660,ckshnsptldmn@gmail.com,1/1/2025,12/31/2025
,607,REGION 11,Davao del Norte,Tagum City,"Visayan Village, Tagum City",MEDICAL MISSION GROUP HOSP. & HEALTH SERVICES COOP OF TAGUM CITY,Private,N/A,General,Level 2,150,084-2173853 / 2173903,mmgtagum@yahoo.com,1/1/2025,12/31/2025
,608,REGION 11,Davao del Norte,Tagum City,"Highway 54, Rabe Subd.,Visayan, Tagum",TAGUM DOCTORS HOSPITAL,Private,N/A,General,Level 2,100,084-2182309,tagumdoc@yahoo.com,1/1/2025,12/31/2025
,609,REGION 11,Davao del Norte,Tagum City,"Purok Cafe, Visayan Village, Tagum City","TAGUM GLOBAL MEDICAL CENTER, INC.",Private,,General,Level 2,50,0998-994-8812,tgmciao@gmail.com,1/1/2025,12/31/2025
,610,REGION 11,Davao del Norte,Tagum City,"Purok 3, Rattan, Apokon, Tagum City",TAGUM MEDICAL CITY,Private,N/A,General,Level 2,100,9256544636,tagummedicalcity@yahoo.com,1/1/2025,12/31/2025
,611,REGION 11,Davao del Norte,Tagum City,"Cor. Sobcrecary-Rizal, Tagum City","UNITED DOCTOR'S HOSPITAL OF TAGUM, INC.",Private,N/A,General,Level 1,20,084-400-1917,udhi_tagum59@yahoo.com,1/1/2025,12/31/2025
,612,REGION 11,Davao del Sur,Bansalan,"R. Delos Cientos St., Bansalan",CENTENO MED. SPECIALISTS HOSP.INC.,Private,N/A,General,Level 1,24,082-2720437,cmshi_07@yahoo.com,1/1/2025,12/31/2025
,613,REGION 11,Davao del Sur,Bansalan,"Bonifacio Rd Bansalan, Dvo Del Sur",MABAMA DOCTORS' HOSPITAL,Private,N/A,General,Level 1,52,0920247-2361/272-2081,williambragat@yahoo.com,1/1/2025,12/31/2025
,614,REGION 11,Davao del Sur,Bansalan,"S. Osmeña St., Bansalan, Dvo. Sur",VIACRUCIS MEDICAL HOSPITAL,Private,N/A,General,Level 1,78,9518383098,viacrucis.medhospital@gmail.com,1/1/2025,12/31/2025
,615,REGION 11,Davao del Sur,Davao City,"Km. 7, Macarthur Highway,Bangkal, D.C","ADVENTIST HOSPITAL- DAVAO, INC.",Private,N/A,General,Level 2,75,082-297-2597,slerasan@adventisthealth-dvo.com,1/1/2025,12/31/2025
,616,REGION 11,Davao del Sur,Davao City,"R. Castillo St., Brgy. Centro, Agdao",ALTERADO GENERAL HOSPITAL,Private,N/A,General,Level 2,160,082-2243022,alterado_generalhospital@yahoo.com.ph,1/1/2025,12/31/2025
,617,REGION 11,Davao del Sur,Davao City,"Barangay 2-A, Magallanes","ANDA RIVERVIEW MEDICAL CENTER, INC.",Private,N/A,General,Level 2,56,082-2210808,armci.hospital@gmail.com,1/1/2025,12/31/2025
,618,REGION 11,Davao del Sur,Davao City,"Madapo Hills, Davao City",BROKENSHIRE MEDICAL CENTER,Private,N/A,General,Level 3,200,082-305-3170-73,info@ddh.com.ph,1/1/2025,12/31/2025
,619,REGION 11,Davao del Sur,Davao City,"Lanang J.P. Laurel Ave. Cor. Banawe St. Brgy. Aquino, Davao City","CURE PHILIPPINES, INC.",Private,N/A,Specialty,Level 1,30,082-3005345,peter.cowels@cureinternational.org,1/1/2025,12/31/2025
,620,REGION 11,Davao del Sur,Davao City,No. 118 E. Quirino Avenue,"DAVAO DOCTOR'S HOSPITAL (CLINICA HILARIO), INC.",Private,N/A,General,Level 3,250,226-4770 / 2229820,sanpedrohospital@yahoo.com,1/1/2025,12/31/2025
,621,REGION 11,Davao del Sur,Davao City,"Dmsf Drive, Bajada, Davao City",DAVAO MED. SCH. FOUN.HOSP.,Private,N/A,General,Level 2,154,227-9330/3053673,dmsfhospital@gmail.com,1/1/2025,12/31/2025
,622,REGION 11,Davao del Sur,Davao City,"Mac Arthur Highway, Lizada, Toril, Dc","DAVAO MEDIQUEST HOSPITAL, INC.",Private,N/A,General,Level 1,46,082-2951007,davaomediquesthospitalinc@gmail.com,1/1/2025,12/31/2025
,623,REGION 11,Davao del Sur,Davao City,"R. Castillo St., Brgy. Centro, Agdao",GIG OCA ROBLES SEAMEN'S HOSPITAL- DAVAO,Private,N/A,General,Level 2,30,082-2347185,shd_davao@yahoo.com,1/1/2025,12/31/2025
,624,REGION 11,Davao del Sur,Davao City,"Sampaguita St., Mintal, Dvo City","HOLY SPIRIT COMMUNITY HOSPITAL OF DAVAO, INC.",Private,N/A,General,Level 1,30,082-293-0236,hschdmintal@gmail.com,1/1/2025,12/31/2025
,625,REGION 11,Davao del Sur,Davao City,"Km. 26 Calinan, Davao City",ISAAC T. ROBILLO MEMORIAL HOSPITAL,Private,N/A,General,Level 1,78,082-295-0200,itrmh79@yahoo.com,1/1/2025,12/31/2025
,626,REGION 11,Davao del Sur,Davao City,"Davao Park Dist. Dakudao Loop, Lanang, San Antonio, Agdao, Davao City","LANANG PREMIERE DOCTORS HOSPITAL, INC.",Private,N/A,General,Level 2,100,9486334368,lpdhi.quality@gmail.com,1/1/2025,12/31/2025
,627,REGION 11,Davao del Sur,Davao City,"Km. 14, Mcarthur Hi-Way, Toril, Dvo. City","MALTA MEDICAL CENTER, INC.",Private,N/A,General,Level 1,24,291-4188/3019493,maltamedicalcenter@yahoo.com,1/1/2025,12/31/2025
,628,REGION 11,Davao del Sur,Davao City,"3Rd Ave., Leon Garcia St., Dava City",MEDICAL MISSION GROUP HOSP. & HEALTH SERVICE COOP. OF DAVAO CITY,Private,N/A,General,Level 2,50,082-2278610,mmghospital.davao@yahoo.com,1/1/2025,12/31/2025
,629,REGION 11,Davao del Sur,Davao City,"Bajada, Davao City","METRO DAVAO MED. & RESEARCH CENTER , INC",Private,N/A,General,Level 2,135,082-287-7771 to 78,mdmrci.ps@gmail.com,1/1/2025,12/31/2025
,630,REGION 11,Davao del Sur,Davao City,"V. Ilustre St., Davao City","RICARDO LIMSO MEDICAL CENTER, INC.",Private,N/A,General,Level 2,85,2262701/226-3688,"rlmc,incorporated@gmail.com",1/1/2025,12/31/2025
,631,REGION 11,Davao del Sur,Davao City,"Guerrero St., Davao City","SAN PEDRO HOSPITAL OF DAVAO CITY, INC.",Private,N/A,General,Level 3,250,082-222-6100,sanpedrohospital1948@gmail.com,1/1/2025,12/31/2025
,632,REGION 11,Davao del Sur,Davao City,"Rasay St., Toril, Dvo. City",ST. JOHN OF THE CROSS HOSPITAL,Private,N/A,General,Level 1,12,082-2910365 / 2914727,hrd.sjch@gmail.com,1/1/2025,12/31/2025
,633,REGION 11,Davao del Sur,Davao City,"Mcarthur Highway, Brgy. Maa, Talomo District, Davao City","UNITED DAVAO SPECIALISTS HOSPITAL AND MEDICAL CENTR, INC",Private,N/A,General,Level 2,100,"09989566946
09988569932",coh.spmc@gmail.com,1/1/2025,12/31/2025
,634,REGION 11,Davao del Sur,Digos City,Digos City,"DIGOS DOCTOR'S HOSPITAL, INC.",Private,N/A,General,Level 2,111,082-5532682,digosdoctorshospital@yahoo.com,1/1/2025,12/31/2025
,635,REGION 11,Davao del Sur,Digos City,Digos City,"GONZALES MARANAN MEDICAL CENTER, INC",Private,N/A,General,Level 2,100,9177017303,gmmc_inc@yahoo.com,1/1/2025,12/31/2025
,636,REGION 11,Davao del Sur,Digos City,Digos City,MEDICAL CENTER OF DIGOS COOPERATIVE HOSPITAL,Private,N/A,General,Level 2,101,082-5538533,mcdchospital@gmail.com,1/1/2025,12/31/2025
,637,REGION 11,Davao del Sur,Digos City,"Quezon Ave., Zone 1, Digos","ST. DOMINIC HOSPITAL OF DIGOS, INC.",Private,N/A,General,Level 1,35,082-2729858,,1/1/2025,12/31/2025
,638,REGION 11,Davao del Sur,Digos City,"Rizal Ave., Digos City",SUNGA HOSPITAL,Private,N/A,General,Level 1,50,082-5530016,sungahospital@yahoo.com.ph,1/1/2025,12/31/2025
,639,REGION 11,Davao del Sur,Hagonoy,"Guihing, Hagonoy, Dvo Del Sur","GONZALES MARANAN MED. CTR.,INC.- GUIHING SATELLITE",Private,N/A,General,Level 1,30,082-5532474,gmmcisat@yahoo.com,1/1/2025,12/31/2025
,640,REGION 11,Davao del Sur,Padada,"Magsaysay St. Pob. Padada, Dvo. Sur",BARON-YEE HOSPITAL,Private,N/A,General,Level 1,49,9085475844,baron_yeehospital@yahoo.com,1/1/2025,12/31/2025
,641,REGION 11,Davao del Sur,Padada,"Southern Paligue, Padada, Dvo Sur","SOUTH DAVAO MEDICAL SPECILAISTS' HOSPITAL, INC.",Private,N/A,General,Level 1,78,082-2760797,sdmsh_i@yahoo.com,1/1/2025,12/31/2025
,642,REGION 11,Davao del Sur,Santa Cruz,"Apo Beach Zone Iii, Sta. Cruz, Dvo Sur","MARPE MEDICAL CLINIC AND HOSP., INC",Private,N/A,General,Level 1,30,082-2723906,marpemed@yahoo.com,1/1/2025,12/31/2025
,643,REGION 11,Davao del Sur,Santa Cruz,"Sta. Cruz, Davao Del Cruz","MEDCORE HOSPITAL, INC.",Private,N/A,General,Level 1,30,9237499093,medcorehospital@gmail.com,1/1/2025,12/31/2025
,644,REGION 11,Davao Oriental,Mati City,"Madang, Mati, Davao Oriental","ST. CAMILLUS HOSP OF MATI FOUNDATION, INC.",Private,N/A,General,Level 1,30,087-3883-682,schmfi@camillusmati.com,1/1/2025,12/31/2025
,645,REGION 12,General Santos,General Santos City,"Leon Llido St., City Heights",DADIANGAS MEDICAL CENTER,Private,,General,Level 2,75,0919 190 2568,dhpidmc.compliance@gmail.com,1/1/2025,12/31/2025
,646,REGION 12,General Santos,General Santos City,National Highway,"GENERAL SANTOS DOCTORS’ HOSPITAL, INC.",Private,,General,Level 3,280,083-250-2777 / 2888,admin@gsdh.com.ph,1/1/2025,12/31/2025
,647,REGION 12,General Santos,General Santos City,"Purok Veterans, National Highway, Brgy. Calumpang",GENSAN MEDICAL CENTER,Private,,General,Level 2,55,(083) 887 9898,contactus@gensanmed.com,1/1/2025,12/31/2025
,648,REGION 12,General Santos,General Santos City,"1St Road, Calumpang","LABELLA HOSPITAL, INC.",Private,,General,Level 1,31,9228590044,hospital_labella@yahoo.com,1/1/2025,12/31/2025
